魢 鱾
鯧 鲳
鳶 鸢
嗩 唢
詬 诟
滯 滞
聰 聪
捲 卷
柵 栅
巹 卺
鱸 鲈
鏽 锈
輅 辂
與 与
撈 捞
鬍 胡
鸏 鹲
鐓 镦
託 托
視 视
餡 馅
鰣 鲥
鈧 钪
説 说
騷 骚
紹 绍
銼 锉
閾 阈
轅 辕
滄 沧
塋 茔
筍 笋
詗 诇
號 号
壠 垄
鱣 鳣
寢 寝
彥 彦
燦 灿
櫬 榇
湯 汤
摳 抠
緒 绪
絹 绢
翺 翱
鋼 钢
樂 乐
蘊 蕴
嬌 娇
導 导
傑 杰
儐 傧
間 间
鈒 钑
隕 陨
窯 窑
夠 够
綣 绻
麥 麦
鎧 铠
瀦 潴
鵝 鹅
阪 坂
謬 谬
辯 辩
戲 戏
錼 镎
鈴 铃
滅 灭
轄 辖
恆 恒
鈍 钝
孌 娈
僑 侨
闓 闿
賙 赒
緹 缇
緣 缘
穢 秽
諭 谕
惱 恼
杴 锨
鯷 鳀
燻 熏
狽 狈
鍼 针
響 响
鑾 銮
薈 荟
們 们
劒 剑
謗 谤
愛 爱
蒞 莅
頡 颉
鴣 鸪
帥 帅
閨 闺
險 险
設 设
輯 辑
臉 脸
緲 缈
颶 飓
簹 筜
綸 纶
儻 傥
鈽 钸
觀 观
諂 谄
葉 叶
饋 馈
驍 骁
攣 挛
齏 齑
灑 洒
燐 磷
啓 启
鋒 锋
棖 枨
汙 污
嶴 岙
蝟 猬
懺 忏
瑩 莹
囪 囱
詭 诡
毬 球
潯 浔
魷 鱿
鷸 鹬
牽 牵
禍 祸
頌 颂
爐 炉
鄒 邹
鐔 镡
欖 榄
悅 悦
撟 挢
夢 梦
鶥 鹛
鶇 鸫
錦 锦
阨 厄
貯 贮
戰 战
徹 彻
銻 锑
紺 绀
璿 璇
眾 众
堊 垩
籠 笼
嫋 袅
姍 姗
題 题
齎 赍
鏑 镝
牐 闸
煒 炜
闕 阙
鑔 镲
棗 枣
譖 谮
鯡 鲱
穠 秾
廣 广
饢 馕
鷥 鸶
鱤 鳡
諫 谏
輿 舆
翹 翘
勻 匀
遼 辽
謁 谒
鯀 鲧
贅 赘
暈 晕
薊 蓟
鰏 鲾
瘓 痪
熒 荧
甕 瓮
讖 谶
螞 蚂
嬡 嫒
縣 县
紥 扎
瀧 泷
鎦 镏
嚨 咙
喪 丧
澮 浍
憲 宪
頷 颔
鮶 鲪
嶺 岭
琿 珲
牴 抵
譁 哗
賄 贿
籤 签
噓 嘘
燒 烧
瓔 璎
淚 泪
摟 搂
幣 币
駢 骈
詫 诧
並 并
業 业
懲 惩
敵 敌
蓴 莼
寶 宝
鉻 铬
鷺 鹭
鑿 凿
檁 檩
謀 谋
贄 贽
暉 晖
箋 笺
萊 莱
餌 饵
綏 绥
劑 剂
錐 锥
訖 讫
亙 亘
掛 挂
愜 惬
薟 莶
蘞 蔹
蘇 苏
鈦 钛
殫 殚
儉 俭
蔴 麻
騶 驺
麹 曲
鰺 鲹
儼 俨
閿 阌
濃 浓
賅 赅
懇 恳
曉 晓
篋 箧
饌 馔
韓 韩
滙 汇
癥 症
換 换
汚 污
塢 坞
鳥 鸟
釧 钏
鉦 钲
靨 靥
瑪 玛
襬 摆
聲 声
鱺 鲡
腫 肿
樁 桩
讀 读
較 较
脇 胁
嬋 婵
鏃 镞
鈑 钣
圓 圆
閔 闵
渙 涣
罎 坛
鰥 鳏
鶤 鹍
鄧 邓
銦 铟
嘩 哗
謫 谪
覬 觊
結 结
溮 浉
萵 莴
鶲 鹟
窶 窭
縹 缥
猻 狲
詁 诂
毀 毁
晉 晋
蟈 蝈
擊 击
額 额
廎 庼
鉑 铂
鏐 镠
鑕 锧
闔 阖
論 论
濘 泞
賚 赉
穡 穑
篠 筱
齣 出
壢 坜
籥 钥
內 内
鋦 锔
癩 癞
譫 谵
艱 艰
惲 恽
藴 蕴
競 竞
幹 干
獻 献
災 灾
燼 烬
蔆 菱
龍 龙
鸌 鹱
餎 饹
閑 闲
鐐 镣
園 园
鈔 钞
贖 赎
謾 谩
謚 谥
鶡 鹖
騤 骙
甦 苏
瀨 濑
貫 贯
辭 辞
